Typ,Maksimum (UTC),Magnituda,Obscuration (%),Wysokość (°),Azymut (°),Początek (UTC),Koniec (UTC)
SŁOŃCE,2036-08-21 18:03:17,0.723,66.2,0.4,289.3,17:15:29,18:07:16
KSIĘŻYC,2036-08-07 02:52:59,1.428,142.8,5.4,234.3,23:49:16,03:40:54
KSIĘŻYC,2036-02-11 22:12:44,1.275,127.5,49.5,156.9,19:36:59,00:48:29
KSIĘŻYC,2035-08-19 01:12:19,0.078,7.8,19.5,214.3,22:48:33,03:32:06
KSIĘŻYC,2034-09-28 02:44:53,0.0,0.0,18.9,245.0,00:45:04,04:48:41
KSIĘŻYC,2034-04-03 19:06:56,0.0,0.0,14.0,117.8,17:23:06,21:14:44
SŁOŃCE,2034-03-20 10:42:29,0.11,4.4,38.1,172.5,10:10:37,11:14:22
KSIĘŻYC,2033-04-14 19:13:25,1.069,106.9,11.3,122.7,17:45:33,22:09:08
KSIĘŻYC,2032-10-18 19:02:09,1.078,107.8,28.5,112.0,16:26:24,21:37:54
KSIĘŻYC,2031-10-30 05:52:53,0.0,0.0,-0.2,293.7,05:52:53,05:52:53
KSIĘŻYC,2031-05-07 03:15:56,0.0,0.0,-0.1,240.2,01:56:04,03:15:56
KSIĘŻYC,2030-12-09 22:28:29,0.0,0.0,59.5,169.4,20:12:43,00:44:16
KSIĘŻYC,2030-06-15 19:08:59,0.34,34.0,-0.2,128.5,19:08:59,20:48:49
SŁOŃCE,2030-06-01 05:21:36,0.689,59.7,21.0,80.5,04:17:51,06:29:20
KSIĘŻYC,2029-12-20 22:42:32,1.092,109.2,60.9,173.3,19:46:49,01:38:15
KSIĘŻYC,2029-06-26 02:46:25,1.232,123.2,-0.2,230.0,00:38:37,02:46:25
SŁOŃCE,2029-06-12 02:54:47,0.149,6.7,1.2,52.0,02:42:50,03:22:40
KSIĘŻYC,2028-12-31 16:52:31,1.221,122.1,15.7,73.2,14:44:44,19:36:16
KSIĘŻYC,2028-07-06 19:18:43,0.084,8.4,-0.1,129.6,19:18:43,20:50:34
KSIĘŻYC,2028-01-12 04:11:04,0.041,4.1,25.4,274.0,02:11:16,06:14:53
SŁOŃCE,2027-08-02 09:17:26,0.464,35.9,50.1,137.8,08:21:39,10:13:12
KSIĘŻYC,2027-02-20 23:11:40,0.0,0.0,47.5,180.4,21:15:51,01:07:29
KSIĘŻYC,2026-08-28 04:10:33,0.904,90.4,-0.2,254.7,01:26:49,04:10:33
SŁOŃCE,2026-08-12 18:08:37,0.874,84.8,2.2,291.7,17:16:50,18:28:33
KSIĘŻYC,2025-09-07 18:12:53,1.337,133.7,6.0,108.7,17:28:58,20:52:38
SŁOŃCE,2025-03-29 11:21:44,0.216,11.8,41.8,186.1,10:37:55,12:01:35
KSIĘŻYC,2025-03-14 05:18:48,0.107,10.7,0.1,274.5,04:02:56,05:18:48
KSIĘŻYC,2024-09-18 02:42:27,0.059,5.9,16.7,241.5,00:46:39,04:42:16
KSIĘŻYC,2024-03-25 04:56:32,0.0,0.0,0.1,268.3,04:56:32,04:56:32
KSIĘŻYC,2023-10-28 20:16:04,0.096,9.6,41.9,128.9,18:04:16,22:23:51
KSIĘŻYC,2023-05-05 18:29:58,0.0,0.0,-0.3,119.0,18:29:58,19:25:53
SŁOŃCE,2022-10-25 10:16:50,0.448,33.4,26.0,172.9,09:13:06,11:20:35
KSIĘŻYC,2022-05-16 03:06:16,0.616,61.6,-0.1,237.7,01:34:25,03:06:16
KSIĘŻYC,2021-11-19 06:21:43,0.0,0.0,-0.3,301.2,06:05:44,06:21:43
SŁOŃCE,2021-06-10 10:40:42,0.207,10.8,61.2,171.6,09:44:55,11:40:27
KSIĘŻYC,2020-06-05 19:24:22,0.0,0.0,2.5,131.4,18:56:25,21:00:13
KSIĘŻYC,2020-01-10 19:09:19,0.0,0.0,36.0,99.1,17:13:31,21:09:08
KSIĘŻYC,2019-07-16 21:30:14,0.628,62.8,12.8,157.4,19:02:28,00:13:58
KSIĘŻYC,2019-01-21 05:12:05,1.17,117.0,14.6,283.3,02:40:20,07:03:54
KSIĘŻYC,2018-07-27 20:20:21,1.582,158.2,10.0,140.6,18:48:30,23:24:03
KSIĘŻYC,2018-01-31 15:50:30,0.0,0.0,-0.1,62.8,15:50:30,16:06:28
KSIĘŻYC,2017-08-07 18:26:35,0.218,21.8,-0.2,115.6,18:26:35,20:46:22
KSIĘŻYC,2017-02-11 00:44:51,0.0,0.0,46.5,214.3,22:37:04,02:48:39
KSIĘŻYC,2016-09-16 18:53:07,0.0,0.0,14.3,115.9,17:09:17,20:48:56
KSIĘŻYC,2015-09-28 02:46:30,1.252,125.2,18.9,245.8,00:14:45,05:02:17
SŁOŃCE,2015-03-20 09:48:08,0.76,70.7,35.6,155.7,08:40:25,10:59:51
KSIĘŻYC,2013-10-18 23:49:39,0.0,0.0,46.5,204.6,21:53:50,01:45:27
